fila_anonima,provincia,RN,estado
1,ORELLANA,0.369217011181507,completo
2,ORELLANA,0.946893084723761,completo
3,ORELLANA,1.04441293046011,completo
4,ORELLANA,1.02339404076903,completo
5,ORELLANA,0.917379684223805,completo
6,ORELLANA,0.918771892058897,completo
7,ORELLANA,0.967835989187593,completo
8,ORELLANA,0.305033026051278,completo
9,ORELLANA,0.51226863890426,completo
10,ORELLANA,0.806253425847919,completo
11,ORELLANA,0.400812401646743,completo
12,ORELLANA,0.541274231342264,completo
13,ORELLANA,0.32561915840301,completo
14,ORELLANA,0.569364914107236,completo
15,ORELLANA,0.892487949904194,completo
16,ORELLANA,0.736491928695927,completo
17,ORELLANA,0.975142575100716,completo
18,ORELLANA,0.833523888703288,completo
19,ORELLANA,0.942487532583559,completo
20,ORELLANA,0.514620153620914,completo
21,ORELLANA,0.678112944754414,completo
22,ORELLANA,0.452025040483108,completo
23,ORELLANA,0.600490680058471,completo
24,ORELLANA,0.550897417182955,completo
25,ORELLANA,0.426670508950363,completo
26,ORELLANA,0.538385949074288,completo
27,ORELLANA,0.678268900134363,completo
28,ORELLANA,0.950389148492566,completo
29,ORELLANA,1.00871481881627,completo
30,ORELLANA,1.10524492010853,completo
31,ORELLANA,0.636273581123561,completo
32,ORELLANA,0.67394254438525,completo
33,ORELLANA,1.03769606139567,completo
34,ORELLANA,0.977474175847234,completo
35,ORELLANA,0.943312995178231,completo
36,ORELLANA,0.579567186482324,completo
37,IMBABURA,0.632706236577658,completo
38,IMBABURA,0.603964229950053,completo
39,IMBABURA,0.618352585667972,completo
40,IMBABURA,0.56086768184921,completo
41,ORELLANA,0.906263490140113,completo
42,IMBABURA,0.782718665985347,completo
43,IMBABURA,0.781867658235717,completo
44,IMBABURA,0.848271095389825,completo
45,CAÑAR,0.983366244931686,completo
46,CAÑAR,0.89971777203068,completo
47,CAÑAR,0.708684505585821,completo
48,CAÑAR,0.929111458828229,completo
49,CAÑAR,0.817000539383754,completo
50,CAÑAR,0.978985833242854,completo
51,CAÑAR,0.658003513340403,completo
52,CAÑAR,0.585015784882611,completo
53,CAÑAR,0.620679585019336,completo
54,SUCUMBÍOS,0.804607162733655,completo
55,SUCUMBÍOS,1.09877996564372,completo
56,SUCUMBÍOS,0.951442851566371,completo
57,CAÑAR,0.716296028430497,completo
58,CAÑAR,0.742669074477983,completo
59,CAÑAR,0.881053727998936,completo
60,SUCUMBÍOS,0.924464882205905,completo
61,SUCUMBÍOS,0.543744355532685,completo
62,CAÑAR,0.606902028120799,completo
63,CAÑAR,0.539216066311281,completo
64,CAÑAR,0.630661045111776,completo
65,CAÑAR,0.656021389843372,completo
66,CAÑAR,0.589225773358643,completo
67,CAÑAR,0.662763281598704,completo
68,CAÑAR,0.625131586983946,completo
69,SUCUMBÍOS,0.351043332892417,completo
70,SUCUMBÍOS,0.873153171893046,completo
71,CAÑAR,0.664214105363015,completo
72,CAÑAR,0.564417899076283,completo
73,CAÑAR,0.728303700749624,completo
74,SUCUMBÍOS,0.800285661967039,completo
75,SUCUMBÍOS,0.672083488508246,completo
76,SUCUMBÍOS,0.942603088163777,completo
77,SUCUMBÍOS,0.391146934032852,completo
78,SUCUMBÍOS,0.906958909788228,completo
79,SUCUMBÍOS,0.763371486416743,completo
80,SUCUMBÍOS,0.671437654260024,completo
81,SUCUMBÍOS,0.831848889776004,completo
82,SUCUMBÍOS,0.780499615365435,completo
83,SUCUMBÍOS,0.499977508824252,completo
84,SUCUMBÍOS,0.523981417784991,completo
85,SUCUMBÍOS,0.826234938791603,completo
86,MANABÍ,0.467836257309941,completo
87,SUCUMBÍOS,0.851120647264425,completo
88,MANABÍ,0.48421052631579,completo
89,MANABÍ,1.0207336523126,completo
90,MANABÍ,0.921821296107626,completo
91,SUCUMBÍOS,0.810311920232716,completo
92,SUCUMBÍOS,0.536025079343698,completo
93,SUCUMBÍOS,0.705316831034469,completo
94,NAPO,0.492875300335815,completo
95,SUCUMBÍOS,0.532266310637182,completo
96,SUCUMBÍOS,0.458877834922566,completo
97,SUCUMBÍOS,0.460581201334817,completo
98,MANABÍ,0.417051543335077,completo
99,MANABÍ,0.591013273788747,completo
100,SUCUMBÍOS,0.810789522836027,completo
101,SANTO DOMINGO DE LOS TSÁCHILAS,0.916801857286255,completo
102,SANTO DOMINGO DE LOS TSÁCHILAS,0.824853117488456,completo
103,NAPO,0.565856501620472,completo
104,SUCUMBÍOS,0.869158545885105,completo
105,SANTO DOMINGO DE LOS TSÁCHILAS,0.850455222768439,completo
106,SUCUMBÍOS,0.921462285282892,completo
107,SUCUMBÍOS,0.867172661088533,completo
108,SUCUMBÍOS,0.973357019205822,completo
109,SUCUMBÍOS,0.933377248204535,completo
110,SUCUMBÍOS,0.947268009504054,completo
111,SANTO DOMINGO DE LOS TSÁCHILAS,0.84726055189386,completo
112,SANTO DOMINGO DE LOS TSÁCHILAS,0.698885616837472,completo
113,SANTO DOMINGO DE LOS TSÁCHILAS,0.951054097308345,completo
114,NAPO,0.508658958297212,completo
115,SUCUMBÍOS,0.354204293934597,completo
116,SUCUMBÍOS,0.935629855106566,completo
117,SUCUMBÍOS,0.345002675064492,completo
118,PICHINCHA,0.796297009354654,completo
119,PICHINCHA,0.53420567246546,completo
120,PICHINCHA,0.737292634925599,completo
121,PICHINCHA,0.941068114704134,completo
122,AZUAY,0.623010407745146,completo
123,AZUAY,0.729183712985017,completo
124,AZUAY,0.904194899210525,completo
125,AZUAY,0.971060667976095,completo
126,MORONA SANTIAGO,0.746257101164488,completo
127,MANABÍ,0.711341808511705,completo
128,NAPO,0.585330927308817,completo
129,MANABÍ,0.967032468394078,completo
130,NAPO,0.92263255345432,completo
131,SUCUMBÍOS,0.872837041483053,completo
132,SUCUMBÍOS,0.901837958291894,completo
133,MANABÍ,1.15778764148527,completo
134,MANABÍ,0.934349918844351,completo
135,NAPO,0.520977597095029,completo
136,MANABÍ,0.944379080464944,completo
137,MANABÍ,0.589525110869135,completo
138,MANABÍ,0.384523614173137,completo
139,CARCHI,0.717871504997168,completo
140,MANABÍ,0.816239770432565,completo
141,MANABÍ,0.880863245981061,completo
142,CARCHI,1.03587114871292,completo
143,CARCHI,0.676061329711088,completo
144,CARCHI,0.508192567848857,completo
145,CARCHI,1.03991974413466,completo
146,CARCHI,0.944432285545741,completo
147,CARCHI,1.04228707564026,completo
148,NAPO,0.609357894178478,completo
149,CARCHI,1.00000735299524,completo
150,CARCHI,0.980709709916187,completo
151,MANABÍ,1.03830797620616,completo
152,CARCHI,0.603802156556075,completo
153,CARCHI,0.599840759920616,completo
154,SANTO DOMINGO DE LOS TSÁCHILAS,0.938870604383869,completo
155,SANTO DOMINGO DE LOS TSÁCHILAS,0.977880975673023,completo
156,SANTO DOMINGO DE LOS TSÁCHILAS,0.997571847774278,completo
157,SANTO DOMINGO DE LOS TSÁCHILAS,0.85864697697803,completo
158,SANTO DOMINGO DE LOS TSÁCHILAS,1.077127731192,completo
159,SANTO DOMINGO DE LOS TSÁCHILAS,0.763066148582904,completo
160,SANTO DOMINGO DE LOS TSÁCHILAS,0.877321799741928,completo
161,NAPO,0.949582689738694,completo
162,MORONA SANTIAGO,0.672707814576741,completo
163,MORONA SANTIAGO,0.73743094863764,completo
