provincia,superficie_sembrada_ha,N_h,S_2024,nivel_confianza,error_muestral,n_oficial
AZUAY,2719,295,0.36,0.9,0.08,46
BOLÍVAR,17817,5474,0.31,0.9,0.07,51
CAÑAR,7130,1183,0.23,0.9,0.08,21
CARCHI,68,96,0.27,0.9,0.08,24
CHIMBORAZO,550,154,0.21,0.9,0.08,17
COTOPAXI,6249,3299,0.17,0.9,0.08,13
EL ORO,13788,3164,0.36,0.9,0.08,53
ESMERALDAS,115263,35598,0.32,0.95,0.06,110
GUAYAS,95161,31056,0.27,0.95,0.06,80
IMBABURA,574,198,0.15,0.9,0.08,9
LOS RÍOS,124019,45270,0.35,0.95,0.06,127
MANABÍ,117080,47308,0.31,0.95,0.06,100
MORONA SANTIAGO,134,204,0.26,0.9,0.08,26
NAPO,12211,5187,0.28,0.9,0.08,34
ORELLANA,28655,16698,0.25,0.9,0.07,35
PASTAZA,110,110,0.3,0.9,0.08,29
PICHINCHA,11680,4407,0.29,0.9,0.08,35
SANTA ELENA,1090,155,0.31,0.9,0.08,33
SANTO DOMINGO DE LOS TSÁCHILAS,26538,9180,0.19,0.9,0.07,20
SUCUMBÍOS,28231,15576,0.26,0.9,0.07,37
ZAMORA CHINCHIPE,677,821,0.31,0.9,0.08,38
